#GPU,GPU type,Calc type,Topology,Time,Performance
2,A100,RIHF + RIMP2 Gradient, 5, 0.749972, 15.3
2,A100,RIHF + RIMP2 Gradient, 6, 1.338395, 18.54
2,A100,RIHF + RIMP2 Gradient, 7, 2.23299, 21.59
2,A100,RIHF + RIMP2 Gradient, 8, 3.649433, 23.68
2,A100,RIHF + RIMP2 Gradient, 9, 5.814377, 25.01
2,A100,RIHF + RIMP2 Gradient, 10, 9.040694, 25.74
2,A100,RIHF + RIMP2 Gradient, 11, 13.136412, 27.2
2,A100,RIHF + RIMP2 Gradient, 12, 18.488078, 28.58
2,A100,RIHF + RIMP2 Gradient, 13, 26.503213, 28.62
2,A100,RIHF + RIMP2 Gradient, 14, 36.427966, 29.16
2,A100,RIMP2 Energy, 1, 0.096754, 0.03076
2,A100,RIMP2 Energy, 2, 0.169655, 0.2285
2,A100,RIMP2 Energy, 3, 0.279842, 0.7401
2,A100,RIMP2 Energy, 4, 0.470689, 1.536
2,A100,RIMP2 Energy, 5, 0.714076, 2.746
2,A100,RIMP2 Energy, 6, 1.04496, 4.308
2,A100,RIMP2 Energy, 7, 1.523723, 6.021
2,A100,RIMP2 Energy, 8, 2.168807, 7.888
2,A100,RIMP2 Energy, 9, 3.007866, 9.895
2,A100,RIMP2 Energy, 10, 4.12141, 11.89
2,A100,RIMP2 Energy, 11, 5.646, 13.65
2,A100,RIMP2 Energy, 12, 7.015322, 15.55
2,A100,RIMP2 Energy, 13, 8.220895, 18.79
2,A100,RIMP2 Energy, 14, 11.712101, 18.35
2,A100,RIMP2 Energy, 15, 13.596439, 21.31
